savi_id_source,Base Organization,savi_id_dest,Referral To Organization,"""Referral From"" Organization"
100037,IN Recovery Alliance,100002,Clean Slate,
100037,IN Recovery Alliance,883950,Fairbanks Hospital,
100037,IN Recovery Alliance,100064,Monroe Co. Opioid Commission,
100037,IN Recovery Alliance,100033,Indiana Harm Reduction Coalition,
100037,IN Recovery Alliance,868231,Wheeler Mission,
100037,IN Recovery Alliance,100065,The Rise,
100037,IN Recovery Alliance,100066,Middle Way House,
100037,IN Recovery Alliance,100067,Protected Worker Project,
100037,IN Recovery Alliance,100068,New Hope Family Shelter,
100037,IN Recovery Alliance,100069,Stepping Stones,
100037,IN Recovery Alliance,100070,A Friend's Place,
100037,IN Recovery Alliance,100071,Community Kitchen,
100037,IN Recovery Alliance,100072,IU Health/Positive Link,
100037,IN Recovery Alliance,100073,Volunteers in Medicine,
100037,IN Recovery Alliance,100074,Bloomington Housing Authority,
440138212,Marion County Prosecutor's Office,100041,Marion County Drug Treatment Court,
100041,Marion County Drug Treatment Court,863327,Salvation Army Harbor Light,
100041,Marion County Drug Treatment Court,100053,Valle Vista,
100041,Marion County Drug Treatment Court,883864,VOA,
100041,Marion County Drug Treatment Court,887657,Dove House,
100041,Marion County Drug Treatment Court,439704001,CareSource (https://www.caresource.com/),
100041,Marion County Drug Treatment Court,100075,CenterStone,
100041,Marion County Drug Treatment Court,864837,Goodwill,
100041,Marion County Drug Treatment Court,863259,PACE,
100041,Marion County Drug Treatment Court,258068634,Recycle Force,
100041,Marion County Drug Treatment Court,866459,Fathers and Families ,
100041,Marion County Drug Treatment Court,864254,Pathway to Recovery Inc.,
100041,Marion County Drug Treatment Court,864949,IVY Tech,
863580,HVAF,883928,Richard Roudebush VAMC,
863580,HVAF,863327,Salvation Army Harbor Light,
883928,Richard Roudebush VAMC,863580,HVAF,
867124,Marion County Jail,100053,Valle Vista,
867124,Marion County Jail,863259,PACE,
867124,Marion County Jail,868200,Eskenazi,
867124,Marion County Jail,867776,Seeds of Hope,
867124,Marion County Jail,884079,Aspire,
867124,Marion County Jail,100002,Clean Slate,
867124,Marion County Jail,864819,Community Outreach Network Services (CONS),
867124,Marion County Jail,865769,Cummins Behavioral Health Systems,
867124,Marion County Jail,100006,Healing Solutions,
867124,Marion County Jail,864149,Progress House,
867124,Marion County Jail,863426,Midtown Mental Health Addiction Services,
867125,Marion County Jail,100053,Valle Vista,
867125,Marion County Jail,863259,PACE,
867125,Marion County Jail,868200,Eskenazi,
867125,Marion County Jail,867776,Seeds of Hope,
867125,Marion County Jail,884079,Aspire,
867125,Marion County Jail,100002,Clean Slate,
867125,Marion County Jail,864819,Community Outreach Network Services (CONS),
867125,Marion County Jail,865769,Cummins Behavioral Health Systems,
867125,Marion County Jail,100006,Healing Solutions,
867125,Marion County Jail,864149,Progress House,
867125,Marion County Jail,863426,Midtown Mental Health Addiction Services,
