com_id,savi_id,org_name,opioid_involved,naicsmap
NA,863426,MIDTOWN NARCOTICS TREATMENT CENTER - ESKENAZI HEALTH,1,62
NA,200022,Simply Divine,1,62
NA,100003,"Elevated Minds, LLC",1,62
NA,100140,Consumer in Recovery,1,8133
NA,864865,INDIANA COMPREHENSIVE TREATMENT CENTERS - INDIANAPOLIS,1,62
NA,100109,IU Center for Health Policy,1,54
NA,100002,"Cleanslate Centers--East, North",1,62
NA,100019,Beech Grove Promoters Club,1,8134
NA,884289,Alpha Resources Inc,1,62
NA,867607,INDIANA UNIVERSITY HEALTH METHODIST HOSPITAL,1,62
NA,200024,Intrinsic Dynamics LLC,1,62
NA,863327,HARBOR LIGHT CENTER THE SALVATION ARMY,1,62
NA,100006,Healing Solutions Transitional Living Services,1,62
NA,863280,INDIANAPOLIS METROPOLITAN POLICE DEPARTMENT VICTIM ASSISTANCE UNIT,1,92
NA,100113,KCG Development,1,8134
NA,100026,Health Ed Pros,1,62
NA,100042,Marion County Re-entry Coalition,1,8133
NA,864297,INDIANAPOLIS METROPOLITAN POLICE DEPARTMENT SOUTHEAST DISTRICT,1,92
NA,888649,CATHOLIC CHARITIES INDPLS,1,44
NA,867124,MARION COUNTY SHERIFF - JAIL I,1,92
NA,100029,Indiana Attorney General's Prescription Drug Task Force ,1,92
NA,100020,Commission on Improving the Status of Children In Indiana,1,92
NA,865420,SAINT VINCENT INDIANAPOLIS HOSPITAL,1,62
NA,867257,SAINT VINCENT HEALTH,1,62
NA,863958,TALBOT HOUSE,1,62
NA,100034,Indiana Network for the Prevention and Treatment of Opioid Addiction (INPTOA),1,92
NA,100114,Kristy's House,1,8134
NA,866641,DEPRESSION AND BIPOLAR SUPPORT ALLIANCE GREATER INDIANAPOLIS,1,62
NA,100129,She Inc.,1,54
NA,867080,COMMUNITY HEALTH PAVILION SHADELAND,1,62
NA,100047,Regional Judicial Opioid Initiative (RJOI),1,8133
NA,100060,Eskenazi/Project POIN,1,54
NA,863486,FAMILIES FIRST - WESTMINSTER NEIGHBORHOOD SERVICES,1,62
NA,862854,ADULT AND CHILD - EAST WASHINGTON STREET,1,62
NA,882784,MARION COUNTY PUBLIC HEALTH DEPARTMENT - FOREST MANOR HEALTH CENTER,1,62
NA,883927,Life Recovery Center,1,62
NA,867240,SAINT VINCENT INDIANAPOLIS STRESS CENTER,1,62
NA,100104,Indiana Pharmacy Alliance ,1,8134
NA,100080,Chief Justice of Indiana,1,92
NA,100044,Offer A Hand Up Counseling,1,54
NA,100119,Monster.com,1,54
NA,100001,Addiction Counseling & Education Services LLC,1,62
NA,100009,"New Horizon, Inc.",1,62
NA,100012,The Brown Building LLC,1,62
NA,100052,Street Reach Indy,1,62
NA,884083,Springtime Counseling Center Inc,1,62
NA,863311,INDIANA ATTORNEY GENERAL,1,92
NA,884292,Midwest AODA Services Joy Corporation,1,62
NA,884287,Fallcreek Counseling Services Inc,1,62
NA,883950,Fairbanks Hospital Supportive Living Program 1st Step,1,62
NA,100004,"From This Space, Inc.",1,8131
NA,100078,Center for Health Policy ,1,54
NA,100045,"Pintell, LLC",1,54
NA,100100,Indiana Addictions Issues Coalition      ,1,8133
NA,867275,COMMUNITY HOSPITAL NORTH BEHAVIORAL HEALTH PAVILION,1,62

