com_id,savi_id,misc_id,employ indy,EmployIndy Partner,Address,City,State,Zip,Phone Number,Website,workoneindy,JAG,CDBG,YES,YBI,Employ Up,LEAP,Project Indy,Opportunity Youth Pilot,WorkINdiana,Adult Education,CWF,Work Readiness Grant
418626345,,,433956458,Goodwill of Central & Southern Indiana,1635 W Michigan Street,Indianapolis,IN,46222,317.524.4313,https://www.goodwillindy.org/,1,0,0,0,0,0,1,0,1,0,0,0,0
711865770,,,433956458,Groundwork Indy,1107 Burdsal Pkwy,Indianapolis,IN,46208,317.737.2810,http://groundworkindy.org/,0,0,0,0,0,0,0,1,0,0,0,0,0
140941956,,,433956458,"Hawthorne SSA, Inc.",2440 West Ohio Street,Indianapolis,IN,46222,317.637.4312,http://www.hawthornecenter.org/,1,0,0,1,0,0,0,0,0,0,0,1,0
434693049,,,433956458,HealthNet,3403 E. Raymond St.,Indianapolis,IN,46203,317.957.2000,http://www.indyhealthnet.org/,0,0,0,0,0,0,0,0,0,0,0,0,0
,864683,,433956458,Homeless Initiative Program of HealthNet,1835 N Meridian Street,Indianapolis,IN,46202,317.957.2275,http://www.indyhealthnet.org/Homeless-Initiative-Program/,1,0,0,0,0,0,0,0,0,0,0,0,0
705625062,,,433956458,Hoosier Occupational Training,2126 N Meridian Street,Indianapolis,IN,46202,317.500.4793,http://www.hotjobtraining.net/,1,0,0,0,0,0,0,0,0,0,0,0,0
521236943,,,433956458,Marion County Jail Hope Hall,40 S. Alabama Street,Indianapolis,IN,46204,,,1,0,0,0,0,0,0,0,0,0,0,0,0
,867548,,433956458,Horizon House,1033 E Washington Street,Indianapolis,IN,46202,317.423.8909,http://www.horizonhouse.cc/,1,0,0,0,0,0,0,0,0,0,0,0,0
,,2000005,433956458,IA Technology,P.O. Box 20754,Indianapolis,IN,46220,,http://www.iatechnologyinc.com,0,0,0,0,0,0,0,1,0,0,0,0,0
,,2000006,433956458,Impacts,3266 N Meridian St. Suite 700,Indianapolis,IN,46208,,https://www.in.gov/fssa/dfr/2682.htm,1,0,0,0,0,0,0,0,0,0,0,0,0
,889161,,433956458,Indianapolis Housing Agency,1935 N Meridian St,Indianapolis,IN,46202,317.261.7200,http://indyhousing.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
258080142,,,433956458,Indianapolis Metropolitan High School,1635 W Michigan St,Indianapolis,IN,46222,317.524.4638,http://indianapolismet.org/,0,1,0,0,0,0,0,0,0,0,0,0,0
402315444,,,433956458,Indianapolis Public Library,40 E St Clair St,Indianapolis,IN,46204,317.275.4040,http://indyreads.org/,1,0,0,0,0,0,0,0,0,0,1,0,0
721626948,,,433956458,Indianapolis Urban League,777 Indiana Ave,Indianapolis,IN,46202,317.693.7603,http://www.indplsul.org/,1,0,1,0,0,0,0,0,0,0,0,0,0
,,2000007,433956458,Indy Public Safety Foundation,200 E Washington St,Indianapolis,IN,46204,,http://www.indypsf.org/,0,0,0,0,0,0,0,1,0,0,0,0,0
950110593,,,433956458,Ivy Tech Community College,50 W Fall Creek Pkwy N Dr,Indianapolis,IN,46208,888.489.5463,https://www.ivytech.edu/,1,0,0,0,0,0,0,0,0,0,0,1,1
824323422,,,433956458,John H. Boner Community Center,2236 E 10th St,Indianapolis,IN,46201,317.633.8210,http://jhbcc.org/,1,0,0,1,0,0,0,0,0,1,0,1,0
937488955,,,433956458,Keys To Work,1255 Roosevelt Ave,Indianapolis,IN,46202,317.974.1500,http://www.keystowork.com/,0,0,0,1,0,0,0,0,1,0,0,0,0
684339708,,,433956458,Lawrence Township Trustees Office,4455 McCoy St,Lawrence,IN,46226,317.890.0011,http://lawtwp.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
433403438,,,433956458,Local Initiatives Support Corporation (LISC),202 E Market St,Indianapolis,IN,46204,317.454.8486,http://liscindianapolis.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
902104124,,,433956458,Marian University,3200 Cold Spring Rd,Indianapolis,IN,46222,317.794.0228,https://www.marian.edu/,1,0,0,0,1,0,0,0,0,1,1,0,0
521295550,,,433956458,Marion County Commission on Youth (MCCOY),1375 W 16th St,Indianapolis,IN,46202,317.921.1266,http://mccoyouth.org/,0,0,0,0,0,0,0,1,0,0,0,0,0
,865861,,433956458,Marion County DFR Office,3266 N. Meridian Street,Indianapolis,IN,46208,1.800.403.0864,https://www.in.gov/fssa/dfr/2684.htm,1,0,0,0,0,0,0,0,0,0,0,0,0
521236943,,,433956458,Marion County Jail II,730 E Washington Street,Indianapolis,IN,46202,,http://www.indy.gov/eGov/County/MCSD/Jail/Pages/home.aspx,0,0,0,0,0,0,1,0,0,0,0,0,0
,868606,,433956458,Martin Luther King Community Center,40 W 40th St,Indianapolis,IN,46208,317.923.4518,http://mlkcenterindy.org/,0,0,0,1,0,0,0,0,0,0,0,0,0
415253927,,,433956458,Martindale-Brightwood Community Dev. Corp.,2855 N Keystone Ave #130,Indianapolis,IN,46218,317.924.8042,http://www.mbcdc.org/,0,0,0,1,0,0,0,0,0,0,0,1,0
140935941,,,433956458,Mary Rigg Neighborhood Center,1920 W Morris St,Indianapolis,IN,46221,317.639.6106,http://www.maryrigg.org/,1,0,1,1,0,0,0,0,0,1,0,1,0
450149273,,,433956458,McKenzie Center for Innovation and Technology,7250 E 75th St,Indianapolis,IN,46256,317.964.8000,https://mckenzie.ltschools.org/,0,1,0,0,0,0,0,0,0,0,0,0,0
968137158,,,433956458,MSD of Warren Township,1401 Mitthoeffer Rd,Indianapolis,IN,46229,317.891.7031,http://www.warren.k12.in.us/,1,0,0,0,0,0,0,0,0,1,1,0,0
724702898,,,433956458,MSD of Washington Township,8550 Woodfield Crossing Blvd,Indianapolis,IN,46240,317.205.3332,https://www.msdwt.k12.in.us/,1,0,0,0,0,0,0,0,0,1,1,0,0
713273598,,,433956458,MSD of Wayne Township,1220 S High School Rd,Indianapolis,IN,46241,317.988.8600,http://district.wayne.k12.in.us/,1,0,0,0,0,0,0,0,0,1,1,0,0
415566118,,,433956458,National Able Network,3737 N Meridian St.,Indianapolis,IN,46208,317.396.7800,https://www.nationalable.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
141006239,,,433956458,North Central High School,1801 E 86th St,Indianapolis,IN,46240,317.259.5301,http://www.nchs.cc/,0,0,1,0,0,0,0,0,0,0,0,0,0
499077303,,,433956458,Northwest High School,5525 W 34th St,Indianapolis,IN,46224,317.693.5600,https://www.myips.org/nchs,0,1,0,0,0,0,0,0,0,0,0,0,0
140854829,,,433956458,"PACE, Inc.",2855 N Keystone Ave,Indianapolis,IN,46218,317.612.6800,http://www.paceindy.org/,1,0,0,1,0,0,1,0,0,0,0,1,0
,,2000015,433956458,"Proteus, Inc",709 .S Reed Road,Kokomo,IN,46901,,www.proteusinc.net/,1,0,0,0,0,0,0,0,0,0,0,0,0
258068634,,,433956458,RecycleForce,1255 Roosevelt Ave,Indianapolis,IN,46202,317.532.1367,http://www.recycleforce.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
,,2000008,433956458,River Valley Resources,2605 E 25th St.,Indianapolis,IN,46218,1.800.787.5627,http://rivervalleyresources.com/,1,0,0,1,1,0,0,1,0,0,0,0,0
981463433,,,433956458,Second Helpings,1121 Southeastern Ave,Indianapolis,IN,46202,317.632.2664,https://www.secondhelpings.org/,0,0,1,0,0,0,0,0,0,0,0,0,0
140798786,,,433956458,Shepherd Community Center,4107 E Washington St,Indianapolis,IN,46201,317.375.0203,https://www.shepherdcommunity.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
140927872,,,433956458,Sidener Academy,2424 Kessler Blvd East Drive,Indianapolis,IN,46220,,www.myips.org/sideneracademy,1,0,0,0,0,0,0,0,0,0,0,0,0
824008403,,,433956458,Southeast Community Services,901 Shelby Street,Indianapolis,IN,46203,317.236.7400,http://southeastindy.org/,1,0,0,0,0,0,0,0,1,1,0,1,0
719592152,,,433956458,Teenworks,2820 N Meridian St.,Indianapolis,IN,46208,317.916.7858,http://teenworks.org/,0,0,0,0,0,0,0,1,0,0,0,0,0
974658783,,,433956458,THA Construction Management,,,,,317.965.6255,turnerhousing@aol.com,0,0,0,0,1,0,0,0,0,0,0,0,0
,,2000009,433956458,Transitional Resources Corporation,5809 N. Post Road,Indianapolis,IN,46216,317.547.1924,,0,1,0,0,0,0,0,0,0,0,0,0,0
233276351,,,433956458,Vincennes University,5001 Shadeland Ave,Indianapolis,IN,46226,317.849.5983,https://www.vinu.edu/home,0,0,0,0,0,0,0,0,0,0,0,0,1
824466007,,,433956458,Vocational Rehabilitation Areas 13 & 14,2620 Kessler Blvd. East Drive,Indianapolis,IN,46220,317-205-0100,https://www.in.gov/fssa/ddrs/2759.htm,1,0,0,0,0,0,0,0,0,0,0,0,0
440147171,,,433956458,Volunteers of America,912 N Delaware Street,Indianapolis,IN,46202,317.660.2830,https://www.voain.org/,1,0,0,0,0,0,0,0,0,0,0,0,0
414474044,,,433956458,Westside Community Ministries,373 N Holmes Road,Indianapolis,IN,46222,317.636.0203,,0,0,0,1,0,0,0,0,0,0,0,0,0
,,2000010,433956458,YouthBuild Indy,2605 E 25th St.,Indianapolis,IN,46218,317.602.3260,https://www.facebook.com/pg/youthbuildindy/,0,0,0,1,0,0,0,0,0,0,0,0,0
